doctor_id,user_id,specialization
611a95b9-ab5d-45aa-8d45-73d61a0bf4e1,76a2ca9a-7ee5-46a9-9dbd-1e2440ec38e9,Невролог
29ecfeae-8929-4618-b897-50946067145a,0eb29522-3f2e-40b5-b2a6-b5f7fc9ba516,Кардиолог
4de21e8c-702b-4340-8125-f7ae627abc14,118f7790-25a2-450f-9a0a-ca4f5942027a,Гастроэнтеролог
74f2ba37-1ae2-40ce-8951-ebbc1d596ef9,73d6b87a-8c32-43df-8763-90e859af2766,Кардиолог
ed7d9626-cfa7-4b91-97ca-35aca1ac731f,9391d2fd-3b94-4748-87da-45aa92f4ac56,Гастроэнтеролог
22a236f4-538a-472c-86b6-3124235c20ee,c17a4ec2-c085-490a-9999-e531b29d746d,Терапевт
7bdb4efb-2b39-42a5-a601-ba5661b5cbdb,09f3b9bf-8eb9-456d-b86b-04e70ed3da85,Офтальмолог
519f2d9a-4688-465a-adbd-e5504adf0448,dd94f87b-a48b-474f-b791-1a0a98a2dfbf,Кардиолог
dd91b4fc-ecb1-4499-a83c-5bb75771f899,41d38fcd-8fd7-45b5-8a1a-c571ce2125e0,Гастроэнтеролог
b9357597-47ca-468b-83b0-0cb7280d2848,dd0584c6-220f-46ad-a6f9-366cf3e95d1b,Гастроэнтеролог
3a81fc85-16ca-4799-9d36-bbf11b615086,dbd4ed8d-03bc-472f-9362-8421013b1e9f,Невролог
f0be7608-15a5-48d7-b93c-05c178226582,d3c6f020-5a8c-42dd-859b-4ea50c1e0fc3,Гастроэнтеролог
94b72376-45a8-4488-82fb-0f93247db2f4,e54a7490-a728-4417-b965-5b67891b421c,Кардиолог
3cc924d6-46d0-41bd-befb-433fef7f3b56,547299e6-8eca-41f4-a15a-eeb6d4cf4087,Невролог
95f90659-27d1-4af4-b17f-e171ec81cee1,05552c70-1fbe-4b26-9a3b-352fd71daf92,Терапевт
65269f67-7e96-4b9c-bae3-4838e79134ad,4f66c657-66d1-45d5-b8cf-074abd4610dc,Эндокринолог
0a1f97c6-c770-45c6-80ea-12a7541c1780,23d3efac-441c-4db5-be76-a6470a292ddc,Офтальмолог
8bb71774-c60f-4e28-8261-90a07201f0fb,cd5459dd-6cab-4cd4-905c-aeb386f62e4f,Гастроэнтеролог
4d4fe499-40d9-4612-b772-0728b7435517,800054c9-dbb7-4926-baca-ce931f528a4e,Офтальмолог
1294e9ca-57c8-439a-8f09-0e15e4f4a0c9,c9178160-39a8-411c-a6a9-14591976a508,Кардиолог
cfa864af-f346-4b6f-be31-3cc66284a405,e2c83fd2-79b5-4da7-b02d-f692750eb864,Гастроэнтеролог
12cb9b76-a527-447a-b483-2205983494dd,74cf1426-21b8-470f-9322-be79d6c8e4be,Терапевт
be5fec2c-cf93-42c7-a796-31c34a2f089d,c0f8e1a4-52a1-4ab1-964d-6d58222fa869,Эндокринолог
73443056-e50b-4b64-8590-6dd35f1b2d9c,59adae13-960b-4b5c-b99d-7074c9aa2a10,Невролог
1677ffa3-9622-4d96-a620-f98fa215699d,9f244a15-a0e1-42dd-a952-5a3fd5ea1ce0,Эндокринолог
31e6b6b7-bb56-4cfd-96ac-23b40d2a6776,3202a3d4-04c0-48c8-8068-3cb64f47a057,Невролог
e8c1f3b2-989e-4cb0-9c54-053c00b22404,38fa376e-bb06-40f7-800b-30452700a874,Кардиолог
aa7dae96-8b62-428d-8cbe-47acd2560a65,0d4cf577-9364-44f0-82eb-a1e5b4ac0671,Эндокринолог
d41629d8-4795-4f28-b0f6-8100d36e4145,9dfaa0e7-78f1-4ff2-95ad-76caccae7ee2,Гастроэнтеролог
63306d1d-9ce3-4108-8f24-f2d3a8dad5ee,7a44f80e-825d-48ca-a2f7-f55c919945fa,Кардиолог
295b7e17-6367-459e-bf5a-34f393b1b935,06e2bf42-9840-4598-8733-157d1a276e8d,Невролог
6a42b751-f2fa-4f19-a117-c48507a87225,b5eb5b8a-197c-474f-8da9-eacb2855315a,Эндокринолог
08bffde9-d9d3-41f8-911a-b9d12089f4b4,52e6772d-b80d-4fe7-b3f4-3062533fa182,Офтальмолог
a76976b2-94ef-4c24-aa93-82277c692172,877c4b9e-a1da-4152-8b39-33654931b3c9,Эндокринолог
26a3ea0b-5de4-461a-919b-1aa68ee49041,45934d98-68ae-43ba-86a9-1f687726041c,Гастроэнтеролог
df9b1991-d493-48f2-bfdf-bfb2153e7a2c,f46f2f64-b497-4c56-9200-dd16cf1df800,Кардиолог
03571c03-3fb7-4306-8a16-0fe64a614540,539bd6d5-b7b5-401e-8564-b86fb6156d6b,Кардиолог
471418cc-d476-4a05-8e7e-b960acae7e95,e255b044-145c-42f6-994e-b1ac0d1e8881,Офтальмолог
13d85320-2653-4458-a6b9-7f1bbacdbf56,445d3525-7957-4a3a-88f8-e580266d8958,Невролог
1db2e232-af0c-4de4-a48b-04c229df7a11,6aa093d7-a425-4bcc-a011-577e0aee4348,Терапевт
caff0711-50af-4822-917d-e6999a4e0de8,c896cdc2-c504-4061-827c-079aeb269e09,Гастроэнтеролог
5541d581-a21f-44db-a53d-25c7321d5f50,567fc3b7-f5ae-4756-b8f3-4d470f5a649e,Кардиолог
ab8894f8-3cd9-40d0-a5ea-afa95030a9f7,0ac9270b-8c5d-4f32-9745-73e4f7113da8,Гастроэнтеролог
14b625a4-8031-480e-8b4d-456fe139d65d,7e39358d-a4d9-4f0e-9c63-407d1510723e,Офтальмолог
8bda0d76-03ac-421d-9c0d-1e8569fbefa6,cfbc48c8-c1ae-46bb-aeba-ffd100a855e2,Эндокринолог
54bf0bb1-e2b8-4816-819a-334b927657b0,5aebc457-3d82-491f-aef6-ff3021a88d96,Невролог
4dfa27e1-6d63-4750-beda-3354ec405883,468ef63a-c2bb-4281-ac3a-b401fd77eb8e,Эндокринолог
888fd41e-4a14-4960-a46e-c8dd3b6425eb,f3ff849b-3b5f-4b00-9c76-c58e49727bbe,Терапевт
87193365-60d8-436b-ab6f-190ba3ba8695,db4e556f-34d4-4e4c-9648-7ffc5fffc87c,Эндокринолог
ba4b544c-7614-4382-83db-fc00ccfdc328,306b972d-6f13-460f-939f-7ca5ee66b24c,Кардиолог
74e39e06-f1cb-48ab-b855-f68bee4a1056,0bf835e6-7e06-454d-bd36-0c0faa8d294f,Эндокринолог
ae8e6b7e-47f1-43ee-8bfc-39a73343b9e2,54947802-b930-4e4a-83f0-e6707f94a24a,Эндокринолог
718f91da-0fdc-4589-b835-9548c59c73bb,4d1a5ec9-9c84-43c2-a02d-515559fcf4c0,Невролог
1c4e6e7b-3118-4bd6-94d6-a953bcd8090d,bfcf0ad7-c3ac-4226-986c-72dd8ea6724d,Невролог
f192f33c-a048-4572-9ac0-a7f6d8d14b51,39bd0ea0-d35c-4ce5-aa52-389f7c1e935b,Офтальмолог
